,cannyfilter_50_invert,cannyfilter_150_invert,cannyfilter_200_invert,grayscale_binarize_resized_50,grayscale_binarize_resized_100,grayscale_binarize_resized_200,grayscale_binarize_resized_300,inverted,hsi_s2_i2,hsi_s2_i1.5,hsi_s2_i0.5,hsi_s1.5_i2,hsi_s1.5_i1.5,hsi_s1.5_i0.5,hsi_s0.5_i2,hsi_s0.5_i1.5,hsi_s0.5_i0.5,grayscale_binarized,mirror
cannyfilter_50_invert,1.0000,0.9869,0.9581,0.9235,0.9235,0.9235,0.9217,0.8893,0.9231,0.8993,0.9199,0.9231,0.8993,0.9199,0.9231,0.8993,0.9199,0.9175,0.7841
cannyfilter_150_invert,0.9869,1.0000,0.9651,0.9212,0.9212,0.9212,0.9202,0.8854,0.9221,0.9001,0.9182,0.9221,0.9001,0.9182,0.9221,0.9001,0.9182,0.9201,0.7837
cannyfilter_200_invert,0.9581,0.9651,1.0000,0.9065,0.9065,0.9065,0.9063,0.8867,0.9108,0.8887,0.9041,0.9108,0.8887,0.9041,0.9108,0.8887,0.9041,0.9092,0.7818
grayscale_binarize_resized_50,0.9235,0.9212,0.9065,1.0000,1.0000,1.0000,0.9983,0.9223,0.9926,0.9662,0.9992,0.9926,0.9662,0.9992,0.9926,0.9662,0.9992,0.9823,0.7530
grayscale_binarize_resized_100,0.9235,0.9212,0.9065,1.0000,1.0000,1.0000,0.9983,0.9223,0.9926,0.9662,0.9992,0.9926,0.9662,0.9992,0.9926,0.9662,0.9992,0.9823,0.7530
grayscale_binarize_resized_200,0.9235,0.9212,0.9065,1.0000,1.0000,1.0000,0.9983,0.9223,0.9926,0.9662,0.9992,0.9926,0.9662,0.9992,0.9926,0.9662,0.9992,0.9823,0.7530
grayscale_binarize_resized_300,0.9217,0.9202,0.9063,0.9983,0.9983,0.9983,1.0000,0.9225,0.9934,0.9666,0.9988,0.9934,0.9666,0.9988,0.9934,0.9666,0.9988,0.9834,0.7518
inverted,0.8893,0.8854,0.8867,0.9223,0.9223,0.9223,0.9225,1.0000,0.9234,0.9129,0.9210,0.9234,0.9129,0.9210,0.9234,0.9129,0.9210,0.9114,0.7882
hsi_s2_i2,0.9231,0.9221,0.9108,0.9926,0.9926,0.9926,0.9934,0.9234,1.0000,0.9665,0.9920,1.0000,0.9665,0.9920,1.0000,0.9665,0.9920,0.9812,0.7587
hsi_s2_i1.5,0.8993,0.9001,0.8887,0.9662,0.9662,0.9662,0.9666,0.9129,0.9665,1.0000,0.9659,0.9665,1.0000,0.9659,0.9665,1.0000,0.9659,0.9581,0.7679
hsi_s2_i0.5,0.9199,0.9182,0.9041,0.9992,0.9992,0.9992,0.9988,0.9210,0.9920,0.9659,1.0000,0.9920,0.9659,1.0000,0.9920,0.9659,1.0000,0.9831,0.7494
hsi_s1.5_i2,0.9231,0.9221,0.9108,0.9926,0.9926,0.9926,0.9934,0.9234,1.0000,0.9665,0.9920,1.0000,0.9665,0.9920,1.0000,0.9665,0.9920,0.9812,0.7587
hsi_s1.5_i1.5,0.8993,0.9001,0.8887,0.9662,0.9662,0.9662,0.9666,0.9129,0.9665,1.0000,0.9659,0.9665,1.0000,0.9659,0.9665,1.0000,0.9659,0.9581,0.7679
hsi_s1.5_i0.5,0.9199,0.9182,0.9041,0.9992,0.9992,0.9992,0.9988,0.9210,0.9920,0.9659,1.0000,0.9920,0.9659,1.0000,0.9920,0.9659,1.0000,0.9831,0.7494
hsi_s0.5_i2,0.9231,0.9221,0.9108,0.9926,0.9926,0.9926,0.9934,0.9234,1.0000,0.9665,0.9920,1.0000,0.9665,0.9920,1.0000,0.9665,0.9920,0.9812,0.7587
hsi_s0.5_i1.5,0.8993,0.9001,0.8887,0.9662,0.9662,0.9662,0.9666,0.9129,0.9665,1.0000,0.9659,0.9665,1.0000,0.9659,0.9665,1.0000,0.9659,0.9581,0.7679
hsi_s0.5_i0.5,0.9199,0.9182,0.9041,0.9992,0.9992,0.9992,0.9988,0.9210,0.9920,0.9659,1.0000,0.9920,0.9659,1.0000,0.9920,0.9659,1.0000,0.9831,0.7494
grayscale_binarized,0.9175,0.9201,0.9092,0.9823,0.9823,0.9823,0.9834,0.9114,0.9812,0.9581,0.9831,0.9812,0.9581,0.9831,0.9812,0.9581,0.9831,1.0000,0.7532
mirror,0.7841,0.7837,0.7818,0.7530,0.7530,0.7530,0.7518,0.7882,0.7587,0.7679,0.7494,0.7587,0.7679,0.7494,0.7587,0.7679,0.7494,0.7532,1.0000
