Technique,TotalWords,MeanConfidence,DictionaryAccuracy
rotated_-90_resized_50,1,0.4701,0.0000
rotated_-90_resized_100,16,0.4698,0.0625
rotated_-90_resized_200,16,0.5082,0.1250
rotated_-90_resized_300,17,0.3968,0.1176
rotated_-60_resized_50,0,0.0000,0.0000
rotated_-60_resized_100,0,0.0000,0.0000
rotated_-60_resized_200,0,0.0000,0.0000
rotated_-60_resized_300,0,0.0000,0.0000
rotated_-45_resized_50,0,0.0000,0.0000
rotated_-45_resized_100,0,0.0000,0.0000
rotated_-45_resized_200,0,0.0000,0.0000
rotated_-45_resized_300,0,0.0000,0.0000
rotated_-30_resized_50,0,0.0000,0.0000
rotated_-30_resized_100,0,0.0000,0.0000
rotated_-30_resized_200,0,0.0000,0.0000
rotated_-30_resized_300,0,0.0000,0.0000
rotated_-20_resized_50,0,0.0000,0.0000
rotated_-20_resized_100,0,0.0000,0.0000
rotated_-20_resized_200,0,0.0000,0.0000
rotated_-20_resized_300,0,0.0000,0.0000
rotated_-10_resized_50,1,0.8572,0.0000
rotated_-10_resized_100,0,0.0000,0.0000
rotated_-10_resized_200,0,0.0000,0.0000
rotated_-10_resized_300,0,0.0000,0.0000
rotated_10_resized_50,0,0.0000,0.0000
rotated_10_resized_100,0,0.0000,0.0000
rotated_10_resized_200,0,0.0000,0.0000
rotated_10_resized_300,0,0.0000,0.0000
rotated_20_resized_50,0,0.0000,0.0000
rotated_20_resized_100,0,0.0000,0.0000
rotated_20_resized_200,0,0.0000,0.0000
rotated_20_resized_300,0,0.0000,0.0000
rotated_30_resized_50,0,0.0000,0.0000
rotated_30_resized_100,0,0.0000,0.0000
rotated_30_resized_200,0,0.0000,0.0000
rotated_30_resized_300,0,0.0000,0.0000
rotated_45_resized_50,0,0.0000,0.0000
rotated_45_resized_100,0,0.0000,0.0000
rotated_45_resized_200,0,0.0000,0.0000
rotated_45_resized_300,0,0.0000,0.0000
rotated_60_resized_50,0,0.0000,0.0000
rotated_60_resized_100,0,0.0000,0.0000
rotated_60_resized_200,0,0.0000,0.0000
rotated_60_resized_300,0,0.0000,0.0000
rotated_90_resized_50,3,0.5077,0.0000
rotated_90_resized_100,17,0.8424,0.6471
rotated_90_resized_200,19,0.7608,0.6842
rotated_90_resized_300,19,0.7635,0.5789
rotated_180_resized_50,14,0.4237,0.0714
rotated_180_resized_100,16,0.3869,0.0625
rotated_180_resized_200,16,0.4792,0.1250
rotated_180_resized_300,15,0.4897,0.1333
cannyfilter_50_invert,17,0.5993,0.4706
cannyfilter_150_invert,17,0.5318,0.5294
cannyfilter_200_invert,19,0.5364,0.6316
cannyfilter_250_invert,17,0.5905,0.4706
grayscale_binarize_resized_50,17,0.7716,0.7059
grayscale_binarize_resized_100,17,0.8503,0.7059
grayscale_binarize_resized_200,17,0.8517,0.7059
grayscale_binarize_resized_300,18,0.8292,0.7222
inverted,14,0.5672,0.7857
hsi_s20_i20,8,0.7010,0.5000
hsi_s20_i5,15,0.7050,0.6667
hsi_s20_i0.5,18,0.8624,0.7222
hsi_s20_i0.2,18,0.8665,0.7222
hsi_s10_i20,8,0.7010,0.5000
hsi_s10_i5,15,0.7050,0.6667
hsi_s10_i0.5,18,0.8624,0.7222
hsi_s10_i0.2,18,0.8665,0.7222
hsi_s5_i20,8,0.7010,0.5000
hsi_s5_i5,15,0.7050,0.6667
hsi_s5_i0.5,18,0.8624,0.7222
hsi_s5_i0.2,18,0.8665,0.7222
hsi_s0.5_i20,8,0.7010,0.5000
hsi_s0.5_i5,15,0.7050,0.6667
hsi_s0.5_i0.5,18,0.8624,0.7222
hsi_s0.5_i0.2,18,0.8665,0.7222
hsi_s0.2_i20,8,0.7010,0.5000
hsi_s0.2_i5,15,0.7050,0.6667
hsi_s0.2_i0.5,18,0.8624,0.7222
hsi_s0.2_i0.2,18,0.8665,0.7222
grayscale_binarized,19,0.8354,0.6316
mirror,18,0.5275,0.3333
default,18,0.8685,0.7222
